epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_acc
1,1.0661709022521972,1.0886234998703004,0.3377665485255757,0.4536305576025546,0.48
2,1.0239588075876236,1.0025849914550782,0.47116978619313804,0.49282125787978887,0.50375
3,0.8576196962594986,1.0390491056442261,0.4683457358394067,0.5474673072497123,0.5325
4,0.627439358830452,1.1978275680541992,0.4766949858404131,0.5486089839695536,0.54625
5,0.44422878965735435,1.415442442893982,0.49226903698763086,0.5918237558429794,0.59625
6,0.3787794454395771,1.6618374633789061,0.495462956130958,0.5861121388139606,0.58
7,0.34386684782803056,1.5705631279945373,0.5008800654171047,0.5954165732880652,0.59
8,0.3201735869795084,1.8652302932739258,0.48062786003503627,0.5692039548248596,0.5675
9,0.30613542303442953,1.8000770592689515,0.5012057059738133,0.5973278562500588,0.5925
10,0.29366143941879275,1.829644606113434,0.5040699841199817,0.6015578688953156,0.5975
