epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_acc
1,1.082496393918991,1.0629682445526123,0.5389091148959034,0.6365094240147622,0.62875
2,1.0479636925458908,1.0304844534397126,0.5843322599105368,0.694499906033178,0.69625
3,1.0146707820892333,0.9995023536682129,0.5907342905618801,0.6956986670392125,0.69125
4,0.9796728268265724,0.9716652345657348,0.5883690465101504,0.6962649091221822,0.68875
5,0.9520084068179131,0.9469742870330811,0.5834335516484014,0.690969856493694,0.68375
6,0.9247276487946511,0.926954392194748,0.5986790112774365,0.7013885379712151,0.69125
7,0.9055007433891297,0.9123075032234191,0.6066771236871561,0.7051024268381906,0.69375
8,0.8918204391002655,0.9020090413093567,0.6009921493133972,0.7028169239188183,0.69
9,0.8815408045053482,0.8963314116001129,0.6002052141561874,0.7007070770793734,0.6875
10,0.8768440091609955,0.8944764864444733,0.6021971883717834,0.7017652353340764,0.6875
