epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_acc
1,0.9980230006948113,0.9680958741903305,0.45877095538301765,0.581215383580896,0.58625
2,0.6530678011849522,0.8628198166936636,0.5549860471052218,0.6666980240273052,0.65
3,0.20258216764312237,1.6267819534544834,0.5367748925922158,0.6622383367244743,0.69
4,0.06426967405714094,1.5818422719533556,0.5671077838682331,0.67682724666609,0.67625
5,0.05348170556273544,1.9348305717972107,0.5414436256960118,0.6841192207992315,0.71
6,0.036540083729923935,1.8886722483753693,0.5374809607174752,0.6781766159152053,0.69625
7,0.03971089602695429,1.9149919646827038,0.5558176752041818,0.6875182695576221,0.70625
