epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_acc
1,0.9244178766012192,0.8111140966415405,0.5800703686630134,0.667833631097002,0.655
2,0.6889892187714577,0.7676323783397675,0.6061338588961803,0.7009372494363842,0.685
3,0.5475900989770889,0.7819472503662109,0.6136066900894969,0.700563383417066,0.68
4,0.4466771553456783,0.9297000086307525,0.6265802049158161,0.7311718963559011,0.72
5,0.3881655693054199,1.0193288433551788,0.6184193268037463,0.7242683553517751,0.71625
6,0.32959107011556626,1.0917022025585175,0.6178634416937442,0.7221322045352255,0.71
7,0.281973145455122,1.2510694444179535,0.6112936769806429,0.7170097083305202,0.71
