epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_acc
1,1.0859150969982148,1.0731152153015138,0.5012602540549501,0.5945372040808006,0.5775
2,1.0635213828086854,1.051896572113037,0.5762170958501821,0.6765418602063201,0.66875
3,1.0403031742572784,1.0319783759117127,0.5808307898088265,0.685519314955924,0.6775
4,1.0194428694248199,1.013859076499939,0.5877487536717856,0.6891765472903735,0.6775
5,0.9996689510345459,0.997739577293396,0.5915493189067033,0.6909885665999862,0.68
6,0.9834151208400727,0.9841602921485901,0.5942905651224837,0.6905974169294204,0.67875
7,0.9691271775960922,0.9736588168144226,0.5968029066472792,0.6923758452363383,0.67875
8,0.9606227445602417,0.9658659076690674,0.5966719076685164,0.6925234387447263,0.67875
9,0.953175984621048,0.961504442691803,0.5980769230769232,0.6934364316239318,0.67875
10,0.9486739540100098,0.9600126910209655,0.6002970419036625,0.694269782796215,0.67875
